Method 1 Epsilon 3.0
Widths 64 128 256 512
Heights 64 128 256 512
Procs 1 2 4 8 16 28

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   64    64       4096   1   64.00000   64.00000     0.077477000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     0.045143000     1.716257227     0.858128614
   64    64       4096   4   16.00000   16.00000     0.047522000     1.630339632     0.407584908
   64    64       4096   8    8.00000    8.00000     0.044832000     1.728162919     0.216020365
   64    64       4096  16    4.00000    4.00000     0.065805000     1.177372540     0.073585784
   64    64       4096  28    2.28571    2.28571     0.087570000     0.884743634     0.031597987
  128   128      16384   1  128.00000  128.00000     0.315401000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     0.167794000     1.879691765     0.939845882
  128   128      16384   4   32.00000   32.00000     0.106783000     2.953663036     0.738415759
  128   128      16384   8   16.00000   16.00000     0.116850000     2.699195550     0.337399444
  128   128      16384  16    8.00000    8.00000     0.121692000     2.591797324     0.161987333
  128   128      16384  28    4.57143    4.57143     0.233326000     1.351761055     0.048277181
  256   256      65536   1  256.00000  256.00000     1.259998000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000     0.652923000     1.929780388     0.964890194
  256   256      65536   4   64.00000   64.00000     0.398647000     3.160686020     0.790171505
  256   256      65536   8   32.00000   32.00000     0.366105000     3.441630133     0.430203767
  256   256      65536  16   16.00000   16.00000     0.392914000     3.206803524     0.200425220
  256   256      65536  28    9.14286    9.14286     0.465543000     2.706512610     0.096661165
  512   512     262144   1  512.00000  512.00000     5.047835000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000     2.643885000     1.909249079     0.954624539
  512   512     262144   4  128.00000  128.00000     1.420006000     3.554798360     0.888699590
  512   512     262144   8   64.00000   64.00000     1.514484000     3.333039504     0.416629938
  512   512     262144  16   32.00000   32.00000     1.514601000     3.332782033     0.208298877
  512   512     262144  28   18.28571   18.28571     1.620756000     3.114494100     0.111231932
