Method 3 Epsilon 0.1
Widths 32 64 128 256 512 1024
Heights 32 64 128 256 512 1024
Procs 1 2 4 6 8 10 12 16

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   32    32       1024   1   32.00000   32.00000     0.097819000     1.000000000     1.000000000
   32    32       1024   2   16.00000   16.00000     0.074345000     1.315744166     0.657872083
   32    32       1024   4    8.00000    8.00000     0.108709000     0.899824302     0.224956075
   32    32       1024   6    5.33333    5.33333     0.141280000     0.692376840     0.115396140
   32    32       1024   8    4.00000    4.00000     0.214859000     0.455270666     0.056908833
   32    32       1024  10    3.20000    3.20000     0.283877000     0.344582337     0.034458234
   32    32       1024  12    2.66667    2.66667     0.333147000     0.293621134     0.024468428
   32    32       1024  16    2.00000    2.00000     0.440243000     0.222193198     0.013887075
   64    64       4096   1   64.00000   64.00000     1.205410000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     0.779935000     1.545526230     0.772763115
   64    64       4096   4   16.00000   16.00000     0.590213000     2.042330481     0.510582620
   64    64       4096   6   10.66667   10.66667     0.885750000     1.360891900     0.226815317
   64    64       4096   8    8.00000    8.00000     0.918309000     1.312640952     0.164080119
   64    64       4096  10    6.40000    6.40000     1.179420000     1.022036255     0.102203626
   64    64       4096  12    5.33333    5.33333     1.114803000     1.081276243     0.090106354
   64    64       4096  16    4.00000    4.00000     1.380420000     0.873219745     0.054576234
  128   128      16384   1  128.00000  128.00000     9.544250000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     5.479494000     1.741812291     0.870906146
  128   128      16384   4   32.00000   32.00000     3.711009000     2.571874657     0.642968664
  128   128      16384   6   21.33333   21.33333     4.393295000     2.172458257     0.362076376
  128   128      16384   8   16.00000   16.00000     4.024084000     2.371782001     0.296472750
  128   128      16384  10   12.80000   12.80000     5.090187000     1.875029346     0.187502935
  128   128      16384  12   10.66667   10.66667     4.403843000     2.167254827     0.180604569
  128   128      16384  16    8.00000    8.00000     4.805742000     1.986009653     0.124125603
  256   256      65536   1  256.00000  256.00000    38.182242000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000    19.764836000     1.931826907     0.965913454
  256   256      65536   4   64.00000   64.00000    10.605435000     3.600252323     0.900063081
  256   256      65536   6   42.66667   42.66667    13.968838000     2.733387129     0.455564522
  256   256      65536   8   32.00000   32.00000    11.053403000     3.454342703     0.431792838
  256   256      65536  10   25.60000   25.60000    13.175527000     2.897966966     0.289796697
  256   256      65536  12   21.33333   21.33333    11.171876000     3.417710866     0.284809239
  256   256      65536  16   16.00000   16.00000    11.593354000     3.293459511     0.205841219
  512   512     262144   1  512.00000  512.00000   155.073602000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000    80.015245000     1.938050705     0.969025353
  512   512     262144   4  128.00000  128.00000    42.759338000     3.626660497     0.906665124
  512   512     262144   6   85.33333   85.33333    57.831900000     2.681454388     0.446909065
  512   512     262144   8   64.00000   64.00000    43.114750000     3.596764495     0.449595562
  512   512     262144  10   51.20000   51.20000    51.617416000     3.004288359     0.300428836
  512   512     262144  12   42.66667   42.66667    43.229902000     3.587183751     0.298931979
  512   512     262144  16   32.00000   32.00000    44.256594000     3.503966030     0.218997877
 1024  1024    1048576   1 1024.00000 1024.00000   652.376939000     1.000000000     1.000000000
 1024  1024    1048576   2  512.00000  512.00000   346.397381000     1.883319490     0.941659745
 1024  1024    1048576   4  256.00000  256.00000   187.411475000     3.480987165     0.870246791
 1024  1024    1048576   6  170.66667  170.66667   254.719663000     2.561156572     0.426859429
 1024  1024    1048576   8  128.00000  128.00000   213.359245000     3.057645517     0.382205690
 1024  1024    1048576  10  102.40000  102.40000   253.605521000     2.572408268     0.257240827
 1024  1024    1048576  12   85.33333   85.33333   204.217236000     3.194524379     0.266210365
 1024  1024    1048576  16   64.00000   64.00000   198.033042000     3.294283279     0.205892705
